"","SPECIES","GRIDS LOST FROM START TO PRIMARY EXTINCTIONS","GRIDS LOST FROM PRIMARY TO SECONDARY EXTINCTIONS","GRIDS LOST FROM START TO PRIMARY FUTURE","GRIDS LOST FROM PRIMARY FUTURE TO SECONDARY FUTURE"
"61","Fringilla montifringilla",3,0,6,0
"62","Fulica atra",0,0,0,0
"63","Gallinago gallinago",10,0,19,0
"64","Gallinula chloropus",0,0,0,0
"65","Haliaeetus albicilla",2,0,5,0
"66","Hirundo rustica",3,0,10,0
"67","Lagopus lagopus",26,0,34,0
"68","Lagopus muta",7,0,11,0
"69","Lanius excubitor",1,0,3,0
"70","Lepus europaeus",3,0,6,0
"71","Lepus timidus",0,0,0,0
"72","Limosa lapponica",0,0,0,0
"73","Locustella naevia",288,0,350,0
"74","Loxia curvirostra",3,0,4,0
"75","Loxia scotica",0,0,0,0
"76","Lutra lutra",115,0,170,0
"77","Lymnocryptes minimus",7,0,11,0
"78","Martes martes",26,0,40,0
"79","Melanitta fusca",0,0,0,0
"80","Melanitta nigra",0,0,5,0
"81","Meles meles",34,0,53,0
"82","Mergus serrator",0,50,0,65
"83","Microtus agrestis",0,0,0,0
"84","Milvus milvus",16,0,29,0
"85","Motacilla alba",2,0,4,0
"86","Motacilla cinerea",69,0,109,0
"87","Muscicapa striata",40,0,62,0
"88","Mustela erminea",0,0,0,0
"89","Mustela nivalis",0,0,0,0
"90","Myodes glareolus",0,0,0,0
"91","Myotis daubentonii",82,0,133,0
"92","Myotis nattereri",539,0,630,0
"93","Neomys fodiens",357,0,441,0
"94","Numenius arquata",1,0,3,0
"95","Numenius phaeopus",1,0,2,0
"96","Oenanthe oenanthe",11,0,25,0
"97","Oryctolagus cuniculus",0,0,0,0
"98","Pandion haliaetus",2,0,5,0
"99","Parus major",0,37,1,59
"100","Passer domesticus",0,0,0,0
"101","Passer montanus",1,0,3,0
"102","Perdix perdix",21,0,34,0
"103","Phalaropus lobatus",0,0,0,0
"104","Phasianus colchicus",0,0,0,0
"105","Phoenicurus phoenicurus",10,0,15,0
"106","Phylloscopus collybita",91,0,143,0
"107","Phylloscopus sibilatrix",16,0,29,0
"108","Phylloscopus trochilus",6,0,10,0
"109","Pica pica",3,0,6,0
"110","Pipistrellus pipistrellus",578,0,658,0
"111","Pipistrellus pygmaeus",277,0,314,0
"112","Plecotus auritus",22,0,38,0
"113","Plectrophenax nivalis",22,0,34,0
"114","Pluvialis apricaria",22,0,33,0
"115","Pluvialis squatarola",3,0,7,0
"116","Porzana porzana",10,0,16,0
"117","Prunella modularis",0,0,0,0
"118","Pyrrhula pyrrhula",1,0,1,0
"119","Rallus aquaticus",10,0,19,0
"120","Regulus regulus",51,0,82,0
"121","Riparia riparia",46,0,74,0
"122","Saxicola rubetra",159,0,227,0
"123","Sciurus vulgaris",2,0,5,0
"124","Scolopax rusticola",1,0,3,0
"125","Somateria mollissima",0,0,0,0
"126","Sorex araneus",1057,0,1168,0
"127","Sorex minutus",1689,0,1821,0
"128","Stercorarius parasiticus",1,0,1,0
"129","Stercorarius pomarinus",2,0,3,0
"130","Sterna hirundo",11,0,19,0
"131","Sterna paradisaea",3,0,5,0
"132","Streptopelia decaocto",1,0,2,0
"133","Strix aluco",2,0,3,0
"134","Sturnus vulgaris",0,0,0,0
"135","Sylvia atricapilla",3,0,6,0
"136","Sylvia borin",0,0,0,0
"137","Sylvia communis",52,0,85,0
"138","Sylvia curruca",111,0,164,0
"139","Tadorna tadorna",1,0,1,0
"140","Talpa europaea",890,0,985,0
"141","Tetrao urogallus",6,0,9,0
"142","Tringa glareola",1,0,3,0
"143","Tringa nebularia",1,0,2,0
"144","Tringa totanus",0,0,0,0
"145","Troglodytes troglodytes",177,0,255,0
"146","Turdus iliacus",0,0,0,0
"147","Turdus merula",0,0,0,0
