"","grid","START","AFTER PRIMMARY EXTINCTIONS","AFTER SECONDARY EXTINCTIONS","FUTURE AFTER PRIMMARY EXTINCTIONS","FUTURE AFTER SECONDARY EXTINCTIONS"
"748","2302",1791,0.0591848129536572,0,0.0591848129536572,0
"749","4194",2862,0.0269042627533194,0,0.0401816911250873,0
"750","4635",634,0,0,0,0
"751","3167",2182,0,0,0,0
"752","1276",2722,0.00477590007347539,0,0.00477590007347539,0
"753","4045",3033,0.0286844708209693,0,0.041872733267392,0
"754","4422",2419,0.00124018189334436,0,0.00124018189334436,0
"755","745",1849,0,0,0,0
"756","2860",2028,0,0,0,0
"757","209",543,0,0,0,0
"758","3118",2698,0.247961452928095,0.0059142434696895,0.30355819125278,0.00638637573177222
"759","2726",1780,0.0898876404494382,0,0.0949438202247191,0
"760","4501",1291,0,0,0,0
"761","1986",309,0,0,0,0
"762","71",33,0,0,0,0
"763","4123",3339,0,0,0,0
"764","1892",2662,0,0,0,0
"765","892",1952,0,0,0,0
"766","151",73,0,0,0,0
"767","577",431,0,0,0,0
"768","1815",2542,0.0342250196695515,0.00122199592668024,0.040912667191188,0.000820344544708778
"769","157",512,0,0,0,0
"770","1140",2476,0,0,0,0
"771","3978",1936,0.239669421487603,0.00611413043478261,0.275826446280992,0.00641940085592011
"772","1366",1147,0,0,0.020052310374891,0
"773","3661",2175,0.0602298850574713,0,0.0611494252873563,0
"774","3318",2751,0.00181752090149037,0,0.00181752090149037,0
"775","252",960,0,0,0,0
"776","1510",1159,0,0,0,0
"777","2896",1954,0.159160696008188,0.0079123554473524,0.209825997952917,0.00841968911917098
"778","4105",3157,0.0687361419068736,0.00136054421768707,0.0782388343363953,0
"779","200",553,0,0,0,0
"780","3797",3065,0,0,0,0
"781","3536",2851,0.0175377060680463,0,0.0175377060680463,0
"782","908",2186,0,0,0,0
"783","1368",1179,0,0,0,0
"784","1954",2590,0,0,0,0
"785","516",1781,0,0,0,0
"786","4617",1492,0,0,0,0
"787","893",1974,0,0,0,0
"788","671",1144,0,0,0,0
"789","2684",3024,0.017526455026455,0.001346348030966,0.017526455026455,0.001346348030966
"790","1875",1670,0.0395209580838323,0,0.0395209580838323,0
"791","4050",2558,0.019546520719312,0,0.0336200156372166,0.00161812297734628
"792","548",1388,0,0,0,0
"793","1784",2345,0.00682302771855011,0,0.00682302771855011,0
"794","4696",1490,0.0785234899328859,0.00291332847778587,0.0979865771812081,0.00297619047619048
"795","1824",2795,0,0,0,0
"796","4614",189,0,0,0,0
"797","2859",1907,0,0,0,0
"798","2826",3079,0.0305293926599545,0.00134003350083752,0.0305293926599545,0.00134003350083752
"799","3001",2535,0.0437869822485207,0.00371287128712871,0.0493096646942801,0.0033195020746888
"800","4442",2093,0.105112279025322,0.00213561131873999,0.132823698041089,0.00220385674931129
"801","3413",1876,0.23134328358209,0.00416088765603329,0.259061833688699,0.00431654676258993
